Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
19872055261,Tanaman Anggrek Tanah Peach,183764780800,,tbh25jan2023_2,,25000,,987,0,,,,,
19824109548,Tanaman Hias Anthurium Jemani,201252341008,,ss_13jul_22_01,,67500,,999,0,,,,,
19772055168,Tanaman Taiwan beauty putih,146567987283,,tbh25jan2023_5,,3500,,888,0,,,,,
19672054367,Tanaman Bougenville varigata 2 warna plus,127357402582,,tbh26jan2023_13,,42300,,983,0,,,,,
19672054295,Tanaman Hias Philodendron Gloriosum AF,220819953842,,tbh26jan2023_14,,49500,,999,0,,,,,
19624109796,Tanaman Hias Anthurium Dwarf Pink,201252338466,,ss_13jul_22_01,,21600,,999,0,,,,,
19572054300,Bunga Mawar Potong Mawar Holand untuk dekorasi random Grade A,146567982879,,tbh26jan2023_17,,3500,,9890,10,,,,,
19472055176,Tanaman hias calathea orbifolia,213764774764,,tbh25jan2023_9,,199900,,999,0,,,,,
19472054356,"Bunga mawar babyrose indukan, rimbun.",165508408169,,tbh26jan2023_18,,25000,,11207,0,,,,,
19457019118,Tanaman Hias Begonia Red Rex,156077350115,,,,31500,,998,0,,,,,
19424110276,Tanaman Ficus Elastica Merah sudah rimbun siap pajang,136298808026,,tbh_15jul22_33,,53910,,999,0,,,,,
19424109619,Tanaman Hias Pentas Pink,155184744810,,ss_13jul_22_01,,13000,,992,0,,,,,
19381248572,Tanaman Cemara Malaika dewasa 1 meter,235348899756,,,,99900,,999,0,,,,,
19324109552,Tanaman Hias soka kuning Ixora,181252334892,,ss_13jul_22_01,,17820,,999,0,,,,,
19281248617,Tanaman Hias camelia Putih,196839691302,,,,35910,,990,0,,,,,
19281248597,Tanaman cempaka ungu wangi,204389908019,,,,49000,,944,0,,,,,
19224110202,Tanaman obat daun insulin,163694588581,,tbh_14jul22_3,,17910,,9910,0,,,,,
19224109704,Tanaman syngonium brisso,181252336348,,ss_13jul_22_01,,22000,,999,0,,,,,
19181248663,Tanaman Melati Cina Miwa Wangi,214389902190,,,,59900,,972,0,,,,,
19172054312,Tanaman Hias Fittonia Hijau rimbun,146567979880,,tbh28jan2023_4,,20700,,999,0,,,,,
19124110225,Tanaman Toga Kemangi,126298807471,,ss_13jul_22_01,,12600,,959,0,,,,,
19124109457,Tanaman Anthurium Bangkok Merah berbunga,163694588035,,ss_13jul_22_01,,26100,,999,0,,,,,
19024109851,Tanaman Hias Tradescantia Nanouk,145184744129,,ss_13jul_22_01,,31500,,998,0,,,,,
18972054429,Tanaman Sanseivera Pagoda murah,98585503626,,tbh28jan2023_7,,22680,,999,0,,,,,
18972054316,Tanaman Daun Rumput Putih gantung,230819951091,,tbh28jan2023_8,,19800,,999,0,,,,,
18924109528,Tanaman Hias Cemara Golden Peking,98016082665,,ss_13jul_22_01,,26100,,999,0,,,,,
18872054292,Tanaman Aglonema Bigpapa Roy atau Lulaiwan,230819954678,,tbh28jan2023_10,,23490,,996,0,,,,,
